,secu_abbr,chi_name,listed_state,secu_code,secu_market,listed_sector,hs_code
822,宏达股份,四川宏达股份有限公司,上市,600331,上海证券交易所,主板,600331.SH
823,白云山,广州白云山医药集团股份有限公司,上市,600332,上海证券交易所,主板,600332.SH
824,长春燃气,长春燃气股份有限公司,上市,600333,上海证券交易所,主板,600333.SH
825,国机汽车,国机汽车股份有限公司,上市,600335,上海证券交易所,主板,600335.SH
826,澳柯玛,澳柯玛股份有限公司,上市,600336,上海证券交易所,主板,600336.SH
827,美克家居,美克国际家居用品股份有限公司,上市,600337,上海证券交易所,主板,600337.SH
828,西藏珠峰,西藏珠峰资源股份有限公司,上市,600338,上海证券交易所,主板,600338.SH
829,中油工程,中国石油集团工程股份有限公司,上市,600339,上海证券交易所,主板,600339.SH
830,华夏幸福,华夏幸福基业股份有限公司,上市,600340,上海证券交易所,主板,600340.SH
831,航天动力,陕西航天动力高科技股份有限公司,上市,600343,上海证券交易所,主板,600343.SH
832,长江通信,武汉长江通信产业集团股份有限公司,上市,600345,上海证券交易所,主板,600345.SH
833,恒力石化,恒力石化股份有限公司,上市,600346,上海证券交易所,主板,600346.SH
834,华阳股份,山西华阳集团新能股份有限公司,上市,600348,上海证券交易所,主板,600348.SH
835,山东高速,山东高速股份有限公司,上市,600350,上海证券交易所,主板,600350.SH
836,亚宝药业,亚宝药业集团股份有限公司,上市,600351,上海证券交易所,主板,600351.SH
837,浙江龙盛,浙江龙盛集团股份有限公司,上市,600352,上海证券交易所,主板,600352.SH
838,旭光电子,成都旭光电子股份有限公司,上市,600353,上海证券交易所,主板,600353.SH
839,敦煌种业,甘肃省敦煌种业集团股份有限公司,上市,600354,上海证券交易所,主板,600354.SH
840,精伦电子,精伦电子股份有限公司,上市,600355,上海证券交易所,主板,600355.SH
841,恒丰纸业,牡丹江恒丰纸业股份有限公司,上市,600356,上海证券交易所,主板,600356.SH
842,国旅联合,国旅文化投资集团股份有限公司,上市,600358,上海证券交易所,主板,600358.SH
843,新农开发,新疆塔里木农业综合开发股份有限公司,上市,600359,上海证券交易所,主板,600359.SH
844,华微电子,吉林华微电子股份有限公司,上市,600360,上海证券交易所,主板,600360.SH
845,创新新材,创新新材料科技股份有限公司,上市,600361,上海证券交易所,主板,600361.SH
846,江西铜业,江西铜业股份有限公司,上市,600362,上海证券交易所,主板,600362.SH
847,联创光电,江西联创光电科技股份有限公司,上市,600363,上海证券交易所,主板,600363.SH
848,ST通葡,通化葡萄酒股份有限公司,上市,600365,上海证券交易所,主板,600365.SH
849,宁波韵升,宁波韵升股份有限公司,上市,600366,上海证券交易所,主板,600366.SH
850,红星发展,贵州红星发展股份有限公司,上市,600367,上海证券交易所,主板,600367.SH
851,五洲交通,广西五洲交通股份有限公司,上市,600368,上海证券交易所,主板,600368.SH
852,西南证券,西南证券股份有限公司,上市,600369,上海证券交易所,主板,600369.SH
853,三房巷,江苏三房巷聚材股份有限公司,上市,600370,上海证券交易所,主板,600370.SH
854,万向德农,万向德农股份有限公司,上市,600371,上海证券交易所,主板,600371.SH
855,中航电子,中航航空电子系统股份有限公司,上市,600372,上海证券交易所,主板,600372.SH
856,中文传媒,中文天地出版传媒集团股份有限公司,上市,600373,上海证券交易所,主板,600373.SH
857,吉电股份,吉林电力股份有限公司,上市,000875,深圳证券交易所,主板,000875.SZ
858,新希望,新希望六和股份有限公司,上市,000876,深圳证券交易所,主板,000876.SZ
859,天山股份,新疆天山水泥股份有限公司,上市,000877,深圳证券交易所,主板,000877.SZ
860,云南铜业,云南铜业股份有限公司,上市,000878,深圳证券交易所,主板,000878.SZ
861,潍柴重机,潍柴重机股份有限公司,上市,000880,深圳证券交易所,主板,000880.SZ
862,中广核技,中广核核技术发展股份有限公司,上市,000881,深圳证券交易所,主板,000881.SZ
863,华联股份,北京华联商厦股份有限公司,上市,000882,深圳证券交易所,主板,000882.SZ
864,湖北能源,湖北能源集团股份有限公司,上市,000883,深圳证券交易所,主板,000883.SZ
865,城发环境,城发环境股份有限公司,上市,000885,深圳证券交易所,主板,000885.SZ
866,海南高速,海南高速公路股份有限公司,上市,000886,深圳证券交易所,主板,000886.SZ
867,中鼎股份,安徽中鼎密封件股份有限公司,上市,000887,深圳证券交易所,主板,000887.SZ
868,峨眉山A,峨眉山旅游股份有限公司,上市,000888,深圳证券交易所,主板,000888.SZ
869,ST中嘉,中嘉博创信息技术股份有限公司,上市,000889,深圳证券交易所,主板,000889.SZ
870,法尔胜,江苏法尔胜股份有限公司,上市,000890,深圳证券交易所,主板,000890.SZ
871,欢瑞世纪,欢瑞世纪联合股份有限公司,上市,000892,深圳证券交易所,主板,000892.SZ
872,亚钾国际,亚钾国际投资(广州)股份有限公司,上市,000893,深圳证券交易所,主板,000893.SZ
873,双汇发展,河南双汇投资发展股份有限公司,上市,000895,深圳证券交易所,主板,000895.SZ
874,豫能控股,河南豫能控股股份有限公司,上市,001896,深圳证券交易所,主板,001896.SZ
875,津滨发展,天津津滨发展股份有限公司,上市,000897,深圳证券交易所,主板,000897.SZ
876,鞍钢股份,鞍钢股份有限公司,上市,000898,深圳证券交易所,主板,000898.SZ
877,赣能股份,江西赣能股份有限公司,上市,000899,深圳证券交易所,主板,000899.SZ
878,现代投资,现代投资股份有限公司,上市,000900,深圳证券交易所,主板,000900.SZ
879,航天科技,航天科技控股集团股份有限公司,上市,000901,深圳证券交易所,主板,000901.SZ
880,新洋丰,新洋丰农业科技股份有限公司,上市,000902,深圳证券交易所,主板,000902.SZ
881,云内动力,昆明云内动力股份有限公司,上市,000903,深圳证券交易所,主板,000903.SZ
882,厦门港务,厦门港务发展股份有限公司,上市,000905,深圳证券交易所,主板,000905.SZ
883,浙商中拓,浙商中拓集团股份有限公司,上市,000906,深圳证券交易所,主板,000906.SZ
884,景峰医药,湖南景峰医药股份有限公司,上市,000908,深圳证券交易所,主板,000908.SZ
885,ST数源,数源科技股份有限公司,上市,000909,深圳证券交易所,主板,000909.SZ
886,大亚圣象,大亚圣象家居股份有限公司,上市,000910,深圳证券交易所,主板,000910.SZ
887,南宁糖业,南宁糖业股份有限公司,上市,000911,深圳证券交易所,主板,000911.SZ
888,泸天化,四川泸天化股份有限公司,上市,000912,深圳证券交易所,主板,000912.SZ
889,钱江摩托,浙江钱江摩托股份有限公司,上市,000913,深圳证券交易所,主板,000913.SZ
890,华特达因,山东华特达因健康股份有限公司,上市,000915,深圳证券交易所,主板,000915.SZ
891,电广传媒,湖南电广传媒股份有限公司,上市,000917,深圳证券交易所,主板,000917.SZ
892,*ST嘉凯,嘉凯城集团股份有限公司,上市,000918,深圳证券交易所,主板,000918.SZ
893,金陵药业,金陵药业股份有限公司,上市,000919,深圳证券交易所,主板,000919.SZ
894,沃顿科技,沃顿科技股份有限公司,上市,000920,深圳证券交易所,主板,000920.SZ
895,海信家电,海信家电集团股份有限公司,上市,000921,深圳证券交易所,主板,000921.SZ
896,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司,上市,000922,深圳证券交易所,主板,000922.SZ
897,河钢资源,河钢资源股份有限公司,上市,000923,深圳证券交易所,主板,000923.SZ
898,众合科技,浙江众合科技股份有限公司,上市,000925,深圳证券交易所,主板,000925.SZ
899,福星股份,湖北福星科技股份有限公司,上市,000926,深圳证券交易所,主板,000926.SZ
900,中国铁物,中国铁路物资股份有限公司,上市,000927,深圳证券交易所,主板,000927.SZ
901,中钢国际,中钢国际工程技术股份有限公司,上市,000928,深圳证券交易所,主板,000928.SZ
902,兰州黄河,兰州黄河企业股份有限公司,上市,000929,深圳证券交易所,主板,000929.SZ
903,中粮科技,中粮生物科技股份有限公司,上市,000930,深圳证券交易所,主板,000930.SZ
904,中关村,北京中关村科技发展(控股)股份有限公司,上市,000931,深圳证券交易所,主板,000931.SZ
905,华菱钢铁,湖南华菱钢铁股份有限公司,上市,000932,深圳证券交易所,主板,000932.SZ
906,神火股份,河南神火煤电股份有限公司,上市,000933,深圳证券交易所,主板,000933.SZ
907,四川双马,四川和谐双马股份有限公司,上市,000935,深圳证券交易所,主板,000935.SZ
908,华西股份,江苏华西村股份有限公司,上市,000936,深圳证券交易所,主板,000936.SZ
909,冀中能源,冀中能源股份有限公司,上市,000937,深圳证券交易所,主板,000937.SZ
910,紫光股份,紫光股份有限公司,上市,000938,深圳证券交易所,主板,000938.SZ
911,南天信息,云南南天电子信息产业股份有限公司,上市,000948,深圳证券交易所,主板,000948.SZ
912,新乡化纤,新乡化纤股份有限公司,上市,000949,深圳证券交易所,主板,000949.SZ
913,重药控股,重药控股股份有限公司,上市,000950,深圳证券交易所,主板,000950.SZ
914,中国重汽,中国重汽集团济南卡车股份有限公司,上市,000951,深圳证券交易所,主板,000951.SZ
915,广济药业,湖北广济药业股份有限公司,上市,000952,深圳证券交易所,主板,000952.SZ
916,河化股份,广西河池化工股份有限公司,上市,000953,深圳证券交易所,主板,000953.SZ
917,欣龙控股,欣龙控股(集团)股份有限公司,上市,000955,深圳证券交易所,主板,000955.SZ
918,中通客车,中通客车股份有限公司,上市,000957,深圳证券交易所,主板,000957.SZ
919,电投产融,国家电投集团产融控股股份有限公司,上市,000958,深圳证券交易所,主板,000958.SZ
920,首钢股份,北京首钢股份有限公司,上市,000959,深圳证券交易所,主板,000959.SZ
921,锡业股份,云南锡业股份有限公司,上市,000960,深圳证券交易所,主板,000960.SZ
922,中南建设,江苏中南建设集团股份有限公司,上市,000961,深圳证券交易所,主板,000961.SZ
923,东方钽业,宁夏东方钽业股份有限公司,上市,000962,深圳证券交易所,主板,000962.SZ
924,华东医药,华东医药股份有限公司,上市,000963,深圳证券交易所,主板,000963.SZ
925,天保基建,天津天保基建股份有限公司,上市,000965,深圳证券交易所,主板,000965.SZ
926,长源电力,国家能源集团长源电力股份有限公司,上市,000966,深圳证券交易所,主板,000966.SZ
927,盈峰环境,盈峰环境科技集团股份有限公司,上市,000967,深圳证券交易所,主板,000967.SZ
928,蓝焰控股,山西蓝焰控股股份有限公司,上市,000968,深圳证券交易所,主板,000968.SZ
929,安泰科技,安泰科技股份有限公司,上市,000969,深圳证券交易所,主板,000969.SZ
930,中科三环,北京中科三环高技术股份有限公司,上市,000970,深圳证券交易所,主板,000970.SZ
931,ST高升,高升控股股份有限公司,上市,000971,深圳证券交易所,主板,000971.SZ
932,中基健康,中基健康产业股份有限公司,上市,000972,深圳证券交易所,主板,000972.SZ
933,佛塑科技,佛山佛塑科技集团股份有限公司,上市,000973,深圳证券交易所,主板,000973.SZ
934,银泰黄金,银泰黄金股份有限公司,上市,000975,深圳证券交易所,主板,000975.SZ
935,ST华铁,广东华铁通达高铁装备股份有限公司,上市,000976,深圳证券交易所,主板,000976.SZ
936,东阳光,广东东阳光科技控股股份有限公司,上市,600673,上海证券交易所,主板,600673.SH
937,川投能源,四川川投能源股份有限公司,上市,600674,上海证券交易所,主板,600674.SH
938,中华企业,中华企业股份有限公司,上市,600675,上海证券交易所,主板,600675.SH
